customer_ID,day,group_size,homeowner,car_age,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,cost,car_vv,A,B,C,D,E,F,G,A_last,B_last,C_last,D_last,E_last,F_last,G_last,A_num,B_num,C_num,D_num,E_num,F_num,G_num,A_cheap,B_cheap,C_cheap,D_cheap,E_cheap,F_cheap,G_cheap,A_res,B_res,C_res,D_res,E_res,F_res,G_res
10000000,0,2.0,0,2,3.0,46,42,1,1,2,633.375,7,1.0,0.0,2.0,2.0,1.0,2.0,1.125,1,0,2,2,1,2,1,1,1,1,1,1,1,2,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1,0,2,2,1,2,1
10000005,3,1.0,0,10,4.0,28,28,0,3,13,745.2,5,0.6,0.6,3.0,2.6,0.6,0.0,2.0,0,0,3,2,0,0,2,2,2,1,2,2,1,1,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0,0,3,2,0,0,2
10000007,4,1.0,0,11,,43,43,0,2,4,609.2857142857143,3,0.0,0.0,1.5714285714285714,1.8571428571428572,0.0,0.0,1.2857142857142858,0,0,2,2,0,0,1,1,1,2,3,1,1,2,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0,0,1,2,0,0,1
10000013,2,2.0,1,3,3.0,62,60,1,3,3,625.3333333333334,4,1.0,1.0,3.0,2.0,1.0,1.6666666666666667,3.0,1,1,3,2,1,1,3,1,1,1,1,1,2,1,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1,1,3,2,1,1,3
10000014,4,1.0,0,5,3.0,32,28,1,1,2,599.6,4,1.2,1.0,1.4,1.4,0.0,2.0,2.0,1,1,1,1,0,2,2,2,1,2,2,1,1,1,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1,1,1,1,0,2,2
10000016,2,1.0,0,6,,24,24,0,3,9,589.2222222222222,4,1.8888888888888888,0.8888888888888888,3.0,3.0,0.8888888888888888,2.7777777777777777,3.0,2,0,3,3,1,3,3,2,2,1,1,2,2,1,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2,0,3,3,0,3,3
10000019,1,1.0,0,7,,21,21,0,2,4,682.7142857142857,4,2.0,0.0,2.0,3.0,0.0,2.0,3.0,2,0,2,3,0,2,3,1,1,1,1,1,1,1,2.0,0.0,2.0,3.0,0.0,2.0,3.0,2,1,2,3,1,2,3
10000023,0,1.1666666666666667,1,2,3.0,31,31,0,1,13,625.5,6,1.0,1.0,1.6666666666666667,3.0,1.0,1.0,2.0,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1,1,1,3,1,1,2
10000025,0,2.0,1,15,2.0,52,17,0,3,0,605.5,4,0.16666666666666666,0.0,1.3333333333333333,2.0,0.0,0.16666666666666666,3.0,0,0,1,1,0,0,3,2,1,2,2,1,2,1,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0,0,1,1,0,0,3
10000026,1,2.0,1,5,3.0,59,57,1,3,1,561.3333333333334,4,1.0,0.3333333333333333,3.0,3.0,0.3333333333333333,2.0,3.0,1,1,3,3,1,2,3,1,2,1,1,2,1,1,1.0,0.0,3.0,3.0,0.0,2.0,3.0,1,1,3,3,1,2,3
10000027,0,1.0,0,17,4.0,50,50,0,2,1,629.4,4,0.4,0.0,1.8,1.8,0.0,0.8,2.0,0,0,2,2,0,0,2,2,1,2,2,1,2,1,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,2,2,0,0,1
10000028,5,2.0,1,1,1.0,44,20,0,1,2,694.4,4,1.4,0.0,1.0,2.6,0.0,2.0,3.0,1,0,1,3,0,2,3,2,1,1,2,1,1,1,2.0,0.0,1.0,3.0,0.0,2.0,3.0,1,0,1,3,0,2,3
10000031,4,1.0,0,15,,25,25,0,2,8,662.2857142857143,5,1.0,1.0,1.2857142857142858,1.2857142857142858,0.14285714285714285,1.0,1.8571428571428572,1,1,1,1,0,1,2,1,1,2,2,2,1,2,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1,1,1,1,0,1,2
10000032,0,1.0,1,12,3.0,29,29,0,4,14,599.6666666666666,5,1.6666666666666667,1.0,3.0,3.0,0.0,2.5,2.6666666666666665,2,1,3,3,0,3,3,2,1,1,1,1,3,2,2.0,1.0,3.0,3.0,0.0,3.0,2.0,1,1,3,3,0,2,3
